location_name,datetimeLocal,unit,no2,o3,pm10,pm25
Sheffield Devonshire Green - UKA00575,2011-11-20T23:12:00Z,µg/m³,8,45,6,4
Sheffield Devonshire Green - UKA00575,2011-11-20T23:13:00Z,µg/m³,8,46,6,4
Sheffield Devonshire Green - UKA00575,2011-11-20T23:14:00Z,µg/m³,10,46,6,4
Sheffield Devonshire Green - UKA00575,2011-11-20T23:15:00Z,µg/m³,14,45,6,4
Sheffield Devonshire Green - UKA00575,2011-11-20T23:16:00Z,µg/m³,35,42,7,4
Sheffield Devonshire Green - UKA00575,2011-11-20T23:17:00Z,µg/m³,52,38,7,4
Sheffield Devonshire Green - UKA00575,2011-11-20T23:18:00Z,µg/m³,48,34,8,5
Sheffield Devonshire Green - UKA00575,2011-11-20T23:19:00Z,µg/m³,49,28,9,6
Sheffield Devonshire Green - UKA00575,2011-11-20T23:20:00Z,µg/m³,45,22,10,7
Sheffield Devonshire Green - UKA00575,2011-11-20T23:21:00Z,µg/m³,37,16,11,7
Sheffield Devonshire Green - UKA00575,2011-11-20T23:22:00Z,µg/m³,37,10,12,8
Sheffield Devonshire Green - UKA00575,2011-11-20T23:23:00Z,µg/m³,37,5,12,9
Sheffield Devonshire Green - UKA00575,2011-12-20T23:00:00Z,µg/m³,40,2,14,11
Sheffield Devonshire Green - UKA00575,2011-12-20T23:02:00Z,µg/m³,30,1,16,13
Sheffield Devonshire Green - UKA00575,2011-12-20T23:03:00Z,µg/m³,30,1,17,13
Sheffield Devonshire Green - UKA00575,2011-12-20T23:04:00Z,µg/m³,22,1,18,14
Sheffield Devonshire Green - UKA00575,2011-12-20T23:05:00Z,µg/m³,22,1,19,15
Sheffield Devonshire Green - UKA00575,2011-12-20T23:06:00Z,µg/m³,17,1,20,16
Sheffield Devonshire Green - UKA00575,2011-12-20T23:07:00Z,µg/m³,20,1,20,16
Sheffield Devonshire Green - UKA00575,2011-12-20T23:08:00Z,µg/m³,16,2,21,17
Sheffield Devonshire Green - UKA00575,2011-12-20T23:09:00Z,µg/m³,21,3,21,17
Sheffield Devonshire Green - UKA00575,2011-12-20T23:10:00Z,µg/m³,30,4,22,18
Sheffield Devonshire Green - UKA00575,2011-12-20T23:11:00Z,µg/m³,28,4,22,18
Sheffield Devonshire Green - UKA00575,2011-12-20T23:12:00Z,µg/m³,31,5,23,18
Sheffield Devonshire Green - UKA00575,2011-12-20T23:13:00Z,µg/m³,27,7,23,19
Sheffield Devonshire Green - UKA00575,2011-12-20T23:14:00Z,µg/m³,28,8,23,19
Sheffield Devonshire Green - UKA00575,2011-12-20T23:15:00Z,µg/m³,29,9,23,19
Sheffield Devonshire Green - UKA00575,2011-12-20T23:16:00Z,µg/m³,29,9,23,19
Sheffield Devonshire Green - UKA00575,2011-12-20T23:17:00Z,µg/m³,28,10,23,19
Sheffield Devonshire Green - UKA00575,2011-12-20T23:18:00Z,µg/m³,30,11,23,19
Sheffield Devonshire Green - UKA00575,2011-12-20T23:19:00Z,µg/m³,29,12,22,18
Sheffield Devonshire Green - UKA00575,2011-12-20T23:20:00Z,µg/m³,28,13,21,17
Sheffield Devonshire Green - UKA00575,2011-12-20T23:21:00Z,µg/m³,20,14,20,17
Sheffield Devonshire Green - UKA00575,2011-12-20T23:22:00Z,µg/m³,15,16,19,16
Sheffield Devonshire Green - UKA00575,2011-12-20T23:23:00Z,µg/m³,15,17,19,16
Sheffield Devonshire Green - UKA00575,2012-01-20T23:00:00Z,µg/m³,18,10,9,7
Sheffield Devonshire Green - UKA00575,2012-01-20T23:02:00Z,µg/m³,16,13,9,6
Sheffield Devonshire Green - UKA00575,2012-01-20T23:03:00Z,µg/m³,16,15,9,6
Sheffield Devonshire Green - UKA00575,2012-01-20T23:04:00Z,µg/m³,13,18,9,6
Sheffield Devonshire Green - UKA00575,2012-01-20T23:05:00Z,µg/m³,13,19,9,7
Sheffield Devonshire Green - UKA00575,2012-01-20T23:06:00Z,µg/m³,9,24,9,6
Sheffield Devonshire Green - UKA00575,2012-01-20T23:07:00Z,µg/m³,11,26,9,7
Sheffield Devonshire Green - UKA00575,2012-01-20T23:08:00Z,µg/m³,17,27,9,7
Sheffield Devonshire Green - UKA00575,2012-01-20T23:09:00Z,µg/m³,25,26,9,7
Sheffield Devonshire Green - UKA00575,2012-01-20T23:10:00Z,µg/m³,35,25,10,7
Sheffield Devonshire Green - UKA00575,2012-01-20T23:11:00Z,µg/m³,22,25,10,7
Sheffield Devonshire Green - UKA00575,2012-01-20T23:12:00Z,µg/m³,16,26,10,7
Sheffield Devonshire Green - UKA00575,2012-01-20T23:13:00Z,µg/m³,14,26,10,7
Sheffield Devonshire Green - UKA00575,2012-01-20T23:14:00Z,µg/m³,20,25,10,7
Sheffield Devonshire Green - UKA00575,2012-01-20T23:15:00Z,µg/m³,24,24,10,8
Sheffield Devonshire Green - UKA00575,2012-01-20T23:16:00Z,µg/m³,35,22,10,8
Sheffield Devonshire Green - UKA00575,2012-01-20T23:17:00Z,µg/m³,37,20,11,8
Sheffield Devonshire Green - UKA00575,2012-01-20T23:18:00Z,µg/m³,46,19,11,9
Sheffield Devonshire Green - UKA00575,2012-01-20T23:19:00Z,µg/m³,41,16,11,9
Sheffield Devonshire Green - UKA00575,2012-01-20T23:20:00Z,µg/m³,40,13,12,9
Sheffield Devonshire Green - UKA00575,2012-01-20T23:21:00Z,µg/m³,41,9,13,10
Sheffield Devonshire Green - UKA00575,2012-01-20T23:22:00Z,µg/m³,45,6,13,10
