location_name,datetimeLocal,unit,no2,o3,pm10,pm25,city,so2
Sheffield Devonshire Green - UKA00575,2024-09-21T00:10:00Z,µg/m³,30,47,15,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-09-21T00:11:00Z,µg/m³,24,44,15,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-09-21T00:12:00Z,µg/m³,22,43,15,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-09-21T00:13:00Z,µg/m³,16,43,16,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-09-21T00:15:00Z,µg/m³,21,43,16,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-09-21T00:16:00Z,µg/m³,21,44,16,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-09-21T00:17:00Z,µg/m³,27,45,16,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-09-21T00:18:00Z,µg/m³,22,46,16,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-09-21T00:19:00Z,µg/m³,14,48,16,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-09-21T00:20:00Z,µg/m³,11,50,16,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-10-21T00:00:00Z,µg/m³,5,57,15,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-10-21T00:03:00Z,µg/m³,11,64,14,6,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-10-21T00:04:00Z,µg/m³,5,62,13,6,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-10-21T00:05:00Z,µg/m³,5,62,14,6,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-10-21T00:06:00Z,µg/m³,5,60,13,6,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-10-21T00:07:00Z,µg/m³,12,57,12,6,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-10-21T00:08:00Z,µg/m³,18,53,12,6,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-10-21T00:09:00Z,µg/m³,20,48,12,6,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-10-21T00:10:00Z,µg/m³,21,45,11,6,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-10-21T00:11:00Z,µg/m³,20,42,11,5,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-10-21T00:12:00Z,µg/m³,23,40,10,5,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-10-21T00:13:00Z,µg/m³,23,39,10,5,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-10-21T00:14:00Z,µg/m³,20,37,10,5,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-10-21T00:15:00Z,µg/m³,20,38,9,5,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-10-21T00:16:00Z,µg/m³,20,40,9,5,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-10-21T00:17:00Z,µg/m³,21,41,8,5,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-10-21T00:18:00Z,µg/m³,20,43,8,5,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-10-21T00:19:00Z,µg/m³,19,45,8,5,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-11-21T00:02:00Z,µg/m³,8,57,7,5,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-11-21T00:03:00Z,µg/m³,8,58,7,5,Sheffield,NA
