location_name,datetimeLocal,unit,no2,o3,pm10,pm25,so2
Hull Freetown - UKA00450,2024-11-21T00:06:00Z,µg/m³,7,68,7,3,NA
Hull Freetown - UKA00450,2024-11-21T00:07:00Z,µg/m³,20,66,7,3,0
Hull Freetown - UKA00450,2024-11-21T00:08:00Z,µg/m³,27,64,7,3,1
Hull Freetown - UKA00450,2024-11-21T00:09:00Z,µg/m³,31,61,8,3,0
Hull Freetown - UKA00450,2024-11-21T00:10:00Z,µg/m³,24,58,8,4,1
Hull Freetown - UKA00450,2024-11-21T00:11:00Z,µg/m³,18,57,8,4,1
Hull Freetown - UKA00450,2024-11-21T00:12:00Z,µg/m³,14,56,9,4,1
Hull Freetown - UKA00450,2024-11-21T00:13:00Z,µg/m³,15,56,10,4,1
Hull Freetown - UKA00450,2024-11-21T00:14:00Z,µg/m³,11,56,10,4,1
Hull Freetown - UKA00450,2024-11-21T00:15:00Z,µg/m³,12,56,10,4,1
Hull Freetown - UKA00450,2024-11-21T00:16:00Z,µg/m³,13,57,11,5,1
Hull Freetown - UKA00450,2024-11-21T00:17:00Z,µg/m³,15,58,11,5,1
Hull Freetown - UKA00450,2024-11-21T00:18:00Z,µg/m³,12,59,12,5,1
Hull Freetown - UKA00450,2024-11-21T00:19:00Z,µg/m³,8,60,12,5,1
Hull Freetown - UKA00450,2024-12-21T00:02:00Z,µg/m³,2,67,16,7,1
Hull Freetown - UKA00450,2024-12-21T00:03:00Z,µg/m³,3,68,16,7,1
Hull Freetown - UKA00450,2024-12-21T00:04:00Z,µg/m³,1,68,17,7,0
Hull Freetown - UKA00450,2024-12-21T00:05:00Z,µg/m³,2,68,17,7,1
Hull Freetown - UKA00450,2024-12-21T00:06:00Z,µg/m³,7,67,17,7,1
Hull Freetown - UKA00450,2024-12-21T00:07:00Z,µg/m³,6,66,17,7,1
Hull Freetown - UKA00450,2024-12-21T00:08:00Z,µg/m³,14,63,17,7,1
Hull Freetown - UKA00450,2024-12-21T00:09:00Z,µg/m³,14,60,16,7,0
Hull Freetown - UKA00450,2024-12-21T00:10:00Z,µg/m³,19,NA,17,8,0
Hull Freetown - UKA00450,2024-12-21T00:11:00Z,µg/m³,15,NA,16,7,0
Hull Freetown - UKA00450,2024-12-21T00:12:00Z,µg/m³,10,NA,16,7,0
Hull Freetown - UKA00450,2024-12-21T00:13:00Z,µg/m³,11,NA,15,7,0
Hull Freetown - UKA00450,2024-12-21T00:14:00Z,µg/m³,10,NA,15,7,0
Hull Freetown - UKA00450,2024-12-21T00:15:00Z,µg/m³,11,56,14,6,0
Hull Freetown - UKA00450,2024-12-21T00:16:00Z,µg/m³,14,56,13,6,0
Hull Freetown - UKA00450,2024-12-21T00:17:00Z,µg/m³,15,55,13,6,0
Hull Freetown - UKA00450,2024-12-21T00:18:00Z,µg/m³,15,56,12,6,0
Hull Freetown - UKA00450,2024-12-21T00:19:00Z,µg/m³,20,55,12,6,0
Hull Freetown - UKA00450,2024-12-21T00:20:00Z,µg/m³,26,51,12,6,0
Hull Freetown - UKA00450,2024-12-21T00:21:00Z,µg/m³,24,48,12,7,1
Hull Freetown - UKA00450,2024-12-21T00:22:00Z,µg/m³,20,45,13,8,1
Hull Freetown - UKA00450,2024-12-21T00:23:00Z,µg/m³,23,42,13,9,0
Hull Freetown - UKA00450,2024-02-21T00:17:00Z,µg/m³,17,54,11,6,1
Hull Freetown - UKA00450,2024-02-21T00:18:00Z,µg/m³,17,53,11,6,1
Hull Freetown - UKA00450,2024-02-21T00:19:00Z,µg/m³,17,53,10,5,1
Hull Freetown - UKA00450,2024-02-21T00:20:00Z,µg/m³,19,53,9,5,1
Hull Freetown - UKA00450,2024-02-21T00:21:00Z,µg/m³,15,53,8,5,1
Hull Freetown - UKA00450,2024-02-21T00:22:00Z,µg/m³,14,53,8,4,1
Hull Freetown - UKA00450,2024-02-21T00:23:00Z,µg/m³,13,54,7,4,1
Hull Freetown - UKA00450,2024-03-21T00:00:00Z,µg/m³,11,54,6,4,1
Hull Freetown - UKA00450,2024-03-21T00:01:00Z,µg/m³,8,55,6,3,1
Hull Freetown - UKA00450,2024-03-21T00:02:00Z,µg/m³,7,56,5,3,1
Hull Freetown - UKA00450,2024-03-21T00:03:00Z,µg/m³,7,57,5,3,1
Hull Freetown - UKA00450,2024-03-21T00:04:00Z,µg/m³,6,58,4,3,1
Hull Freetown - UKA00450,2024-03-21T00:05:00Z,µg/m³,7,59,4,2,1
Hull Freetown - UKA00450,2024-03-21T00:06:00Z,µg/m³,14,59,4,2,1
Hull Freetown - UKA00450,2024-03-21T00:07:00Z,µg/m³,15,59,3,2,1
Hull Freetown - UKA00450,2024-03-21T00:08:00Z,µg/m³,12,59,3,2,1
Hull Freetown - UKA00450,2024-03-21T00:09:00Z,µg/m³,24,57,4,2,1
Hull Freetown - UKA00450,2024-03-21T00:10:00Z,µg/m³,16,56,4,2,1
Hull Freetown - UKA00450,2024-03-21T00:11:00Z,µg/m³,10,57,4,2,1
Hull Freetown - UKA00450,2024-03-21T00:12:00Z,µg/m³,7,57,4,2,1
Hull Freetown - UKA00450,2024-03-21T00:13:00Z,µg/m³,17,57,4,2,1
Hull Freetown - UKA00450,2024-03-21T00:14:00Z,µg/m³,16,58,4,2,1
Hull Freetown - UKA00450,2024-03-21T00:15:00Z,µg/m³,16,59,4,2,1
Hull Freetown - UKA00450,2024-03-21T00:16:00Z,µg/m³,16,60,4,2,1
Hull Freetown - UKA00450,2024-03-21T00:17:00Z,µg/m³,12,63,5,3,1
Hull Freetown - UKA00450,2024-03-21T00:18:00Z,µg/m³,22,64,5,3,1
Hull Freetown - UKA00450,2024-03-21T00:19:00Z,µg/m³,30,63,6,3,1
Hull Freetown - UKA00450,2024-03-21T00:20:00Z,µg/m³,26,61,6,3,1
